Row ID,總分類,大分類,中分類,小分類,細分類,提示詞內容
提示詞-0001,01. 畫面比例 (Aspect Ratio),01. 1:1 畫面比例 (1:1 Aspect Ratio),-,-,-,畫面比例 (Aspect Ratio) - 1:1 畫面比例 (1:1 Aspect Ratio) -  -  -  -  -  - 
提示詞-0002,01. 畫面比例 (Aspect Ratio),02. 2:3 畫面比例 (2:3 Aspect Ratio),-,-,-,畫面比例 (Aspect Ratio) - 2:3 畫面比例 (2:3 Aspect Ratio) -  -  -  -  -  - 
提示詞-0003,01. 畫面比例 (Aspect Ratio),03. 3:2 畫面比例 (3:2 Aspect Ratio),-,-,-,畫面比例 (Aspect Ratio) - 3:2 畫面比例 (3:2 Aspect Ratio) -  -  -  -  -  - 
提示詞-0004,01. 畫面比例 (Aspect Ratio),04. 3:4 畫面比例 (3:4 Aspect Ratio),-,-,-,畫面比例 (Aspect Ratio) - 3:4 畫面比例 (3:4 Aspect Ratio) -  -  -  -  -  - 
提示詞-0005,01. 畫面比例 (Aspect Ratio),05. 4:3 畫面比例 (4:3 Aspect Ratio),-,-,-,畫面比例 (Aspect Ratio) - 4:3 畫面比例 (4:3 Aspect Ratio) -  -  -  -  -  - 
提示詞-0006,01. 畫面比例 (Aspect Ratio),06. 9:16 畫面比例 (9:16 Aspect Ratio),-,-,-,畫面比例 (Aspect Ratio) - 9:16 畫面比例 (9:16 Aspect Ratio) -  -  -  -  -  - 
提示詞-0007,01. 畫面比例 (Aspect Ratio),07. 16:9 畫面比例 (16:9 Aspect Ratio),-,-,-,畫面比例 (Aspect Ratio) - 16:9 畫面比例 (16:9 Aspect Ratio) -  -  -  -  -  - 
提示詞-0008,01. 畫面比例 (Aspect Ratio),08. 畫面比例_自訂,-,-,-,畫面比例 (Aspect Ratio) - 畫面比例_自訂 -  -  -  -  -  - 
提示詞-0009,02. 攝影 (Camera),01. 視角 (Camera Angle),01. 攝影機高度 (Camera Height),01. 平視鏡頭 (Eye-level shot),-,攝影 (Camera) - 視角 (Camera Angle) - 攝影機高度 (Camera Height) - 平視鏡頭 (Eye-level shot) -  - 
提示詞-0010,02. 攝影 (Camera),01. 視角 (Camera Angle),01. 攝影機高度 (Camera Height),02. 肩部高度鏡頭 (Shoulder level shot),-,攝影 (Camera) - 視角 (Camera Angle) - 攝影機高度 (Camera Height) - 肩部高度鏡頭 (Shoulder level shot) -  - 
提示詞-0011,02. 攝影 (Camera),01. 視角 (Camera Angle),01. 攝影機高度 (Camera Height),03. 腰部高度鏡頭 (Hip Level Shot),-,攝影 (Camera) - 視角 (Camera Angle) - 攝影機高度 (Camera Height) - 腰部高度鏡頭 (Hip Level Shot) -  - 
提示詞-0012,02. 攝影 (Camera),01. 視角 (Camera Angle),01. 攝影機高度 (Camera Height),04. 膝蓋高度鏡頭 (Knee level shot),-,攝影 (Camera) - 視角 (Camera Angle) - 攝影機高度 (Camera Height) - 膝蓋高度鏡頭 (Knee level shot) -  - 
提示詞-0013,02. 攝影 (Camera),01. 視角 (Camera Angle),01. 攝影機高度 (Camera Height),05. 地面高度鏡頭 (Ground level shot),-,攝影 (Camera) - 視角 (Camera Angle) - 攝影機高度 (Camera Height) - 地面高度鏡頭 (Ground level shot) -  - 
提示詞-0014,02. 攝影 (Camera),01. 視角 (Camera Angle),02. 垂直視角與角度 (Vertical Angle),01. 高角度／俯拍鏡頭 (High-angle shot),-,攝影 (Camera) - 視角 (Camera Angle) - 垂直視角與角度 (Vertical Angle) - 高角度／俯拍鏡頭 (High-angle shot) -  - 
提示詞-0015,02. 攝影 (Camera),01. 視角 (Camera Angle),02. 垂直視角與角度 (Vertical Angle),02. 低角度／仰拍鏡頭 (Low-angle shot),-,攝影 (Camera) - 視角 (Camera Angle) - 垂直視角與角度 (Vertical Angle) - 低角度／仰拍鏡頭 (Low-angle shot) -  - 
提示詞-0016,02. 攝影 (Camera),01. 視角 (Camera Angle),02. 垂直視角與角度 (Vertical Angle),03. 俯視角度 (Overhead angle),-,攝影 (Camera) - 視角 (Camera Angle) - 垂直視角與角度 (Vertical Angle) - 俯視角度 (Overhead angle) -  - 
提示詞-0017,02. 攝影 (Camera),01. 視角 (Camera Angle),02. 垂直視角與角度 (Vertical Angle),04. 正上方俯視鏡頭 (Top-down view),-,攝影 (Camera) - 視角 (Camera Angle) - 垂直視角與角度 (Vertical Angle) - 正上方俯視鏡頭 (Top-down view) -  - 
提示詞-0018,02. 攝影 (Camera),01. 視角 (Camera Angle),02. 垂直視角與角度 (Vertical Angle),05. 鳥瞰視角／俯視鏡頭 (Bird’s-eye view),-,攝影 (Camera) - 視角 (Camera Angle) - 垂直視角與角度 (Vertical Angle) - 鳥瞰視角／俯視鏡頭 (Bird’s-eye view) -  - 
提示詞-0019,02. 攝影 (Camera),01. 視角 (Camera Angle),02. 垂直視角與角度 (Vertical Angle),06. 蟲視角／極低角度鏡頭 (Worm’s Eye View),-,攝影 (Camera) - 視角 (Camera Angle) - 垂直視角與角度 (Vertical Angle) - 蟲視角／極低角度鏡頭 (Worm’s Eye View) -  - 
提示詞-0020,02. 攝影 (Camera),01. 視角 (Camera Angle),03. 水平與人物面向視角 (Horizontal Angle),01. 側面角度 (Profile angle),-,攝影 (Camera) - 視角 (Camera Angle) - 水平與人物面向視角 (Horizontal Angle) - 側面角度 (Profile angle) -  - 
提示詞-0021,02. 攝影 (Camera),01. 視角 (Camera Angle),03. 水平與人物面向視角 (Horizontal Angle),02. 側角視角 (Side angle),-,攝影 (Camera) - 視角 (Camera Angle) - 水平與人物面向視角 (Horizontal Angle) - 側角視角 (Side angle) -  - 
提示詞-0022,02. 攝影 (Camera),01. 視角 (Camera Angle),03. 水平與人物面向視角 (Horizontal Angle),03. 三分之四視角 (Three-quarter view),-,攝影 (Camera) - 視角 (Camera Angle) - 水平與人物面向視角 (Horizontal Angle) - 三分之四視角 (Three-quarter view) -  - 
提示詞-0023,02. 攝影 (Camera),01. 視角 (Camera Angle),03. 水平與人物面向視角 (Horizontal Angle),04. 背面視角 (Back view),-,攝影 (Camera) - 視角 (Camera Angle) - 水平與人物面向視角 (Horizontal Angle) - 背面視角 (Back view) -  - 
提示詞-0024,02. 攝影 (Camera),01. 視角 (Camera Angle),03. 水平與人物面向視角 (Horizontal Angle),05. 背面鏡頭／背部視角 (Back Shot / Rear Angle View),-,攝影 (Camera) - 視角 (Camera Angle) - 水平與人物面向視角 (Horizontal Angle) - 背面鏡頭／背部視角 (Back Shot / Rear Angle View) -  - 
提示詞-0025,02. 攝影 (Camera),01. 視角 (Camera Angle),04. 特殊構圖與視角 (Special Composition),01. 傾斜鏡頭 (Dutch angle),-,攝影 (Camera) - 視角 (Camera Angle) - 特殊構圖與視角 (Special Composition) - 傾斜鏡頭 (Dutch angle) -  - 
提示詞-0026,02. 攝影 (Camera),01. 視角 (Camera Angle),04. 特殊構圖與視角 (Special Composition),02. 斜角視角 (Oblique angle),-,攝影 (Camera) - 視角 (Camera Angle) - 特殊構圖與視角 (Special Composition) - 斜角視角 (Oblique angle) -  - 
提示詞-0027,02. 攝影 (Camera),01. 視角 (Camera Angle),04. 特殊構圖與視角 (Special Composition),03. 第一人稱視角 (POV (Point-of-View) Shot),-,攝影 (Camera) - 視角 (Camera Angle) - 特殊構圖與視角 (Special Composition) - 第一人稱視角 (POV (Point-of-View) Shot) -  - 
提示詞-0028,02. 攝影 (Camera),01. 視角 (Camera Angle),05. 敘事與功能性鏡頭 (Narrative & Functional),01. 情境照 (Establishing Shot),-,攝影 (Camera) - 視角 (Camera Angle) - 敘事與功能性鏡頭 (Narrative & Functional) - 情境照 (Establishing Shot) -  - 
提示詞-0029,02. 攝影 (Camera),01. 視角 (Camera Angle),05. 敘事與功能性鏡頭 (Narrative & Functional),02. 用圖說故事／敘事鏡頭 (Narrative Shot),-,攝影 (Camera) - 視角 (Camera Angle) - 敘事與功能性鏡頭 (Narrative & Functional) - 用圖說故事／敘事鏡頭 (Narrative Shot) -  - 
提示詞-0030,02. 攝影 (Camera),01. 視角 (Camera Angle),05. 敘事與功能性鏡頭 (Narrative & Functional),03. 過肩鏡頭 (Over-The-Shoulder Shot),-,攝影 (Camera) - 視角 (Camera Angle) - 敘事與功能性鏡頭 (Narrative & Functional) - 過肩鏡頭 (Over-The-Shoulder Shot) -  - 
提示詞-0031,02. 攝影 (Camera),01. 視角 (Camera Angle),05. 敘事與功能性鏡頭 (Narrative & Functional),04. 跟隨鏡頭 (Follow Shot),-,攝影 (Camera) - 視角 (Camera Angle) - 敘事與功能性鏡頭 (Narrative & Functional) - 跟隨鏡頭 (Follow Shot) -  - 
提示詞-0032,02. 攝影 (Camera),01. 視角 (Camera Angle),05. 敘事與功能性鏡頭 (Narrative & Functional),05. 自拍照 (Selfie),-,攝影 (Camera) - 視角 (Camera Angle) - 敘事與功能性鏡頭 (Narrative & Functional) - 自拍照 (Selfie) -  - 
提示詞-0033,02. 攝影 (Camera),01. 視角 (Camera Angle),06. 視角_自定,-,-,攝影 (Camera) - 視角 (Camera Angle) - 視角_自定 -  -  -  - 
提示詞-0034,02. 攝影 (Camera),02. 景別 (Camera Shot Size),01. 極遠景（Extreme long shot）,-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 極遠景（Extreme long shot） -  -  -  - 
提示詞-0035,02. 攝影 (Camera),02. 景別 (Camera Shot Size),02. 遠景（Long shot）,-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 遠景（Long shot） -  -  -  - 
提示詞-0036,02. 攝影 (Camera),02. 景別 (Camera Shot Size),03. 全身鏡頭（Full shot）,-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 全身鏡頭（Full shot） -  -  -  - 
提示詞-0037,02. 攝影 (Camera),02. 景別 (Camera Shot Size),04. 中遠景（Medium wide shot）,-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 中遠景（Medium wide shot） -  -  -  - 
提示詞-0038,02. 攝影 (Camera),02. 景別 (Camera Shot Size),05. 牛仔鏡頭（Cowboy shot）,-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 牛仔鏡頭（Cowboy shot） -  -  -  - 
提示詞-0039,02. 攝影 (Camera),02. 景別 (Camera Shot Size),06. 中鏡頭 (Medium Shot),-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 中鏡頭 (Medium Shot) -  -  -  - 
提示詞-0040,02. 攝影 (Camera),02. 景別 (Camera Shot Size),07. 中近景（Medium close-up shot）,-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 中近景（Medium close-up shot） -  -  -  - 
提示詞-0041,02. 攝影 (Camera),02. 景別 (Camera Shot Size),08. 特寫鏡頭（Close-up）,-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 特寫鏡頭（Close-up） -  -  -  - 
提示詞-0042,02. 攝影 (Camera),02. 景別 (Camera Shot Size),09. 極特寫鏡頭（Extreme close-up）,-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 極特寫鏡頭（Extreme close-up） -  -  -  - 
提示詞-0043,02. 攝影 (Camera),02. 景別 (Camera Shot Size),10. 景別_自定,-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 景別_自定 -  -  -  - 
提示詞-0044,02. 攝影 (Camera),03. 焦段 (Focal Length),01. 超廣角（Ultra Wide Angle）,-,-,攝影 (Camera) - 焦段 (Focal Length) - 超廣角（Ultra Wide Angle） -  -  -  - 
提示詞-0045,02. 攝影 (Camera),03. 焦段 (Focal Length),02. 廣角（Wide Angle）,-,-,攝影 (Camera) - 焦段 (Focal Length) - 廣角（Wide Angle） -  -  -  - 
提示詞-0046,02. 攝影 (Camera),03. 焦段 (Focal Length),03. 半廣角（Semi-wide / Moderate Wide）,-,-,攝影 (Camera) - 焦段 (Focal Length) - 半廣角（Semi-wide / Moderate Wide） -  -  -  - 
提示詞-0047,02. 攝影 (Camera),03. 焦段 (Focal Length),04. 標準鏡（Standard Lens）,-,-,攝影 (Camera) - 焦段 (Focal Length) - 標準鏡（Standard Lens） -  -  -  - 
提示詞-0048,02. 攝影 (Camera),03. 焦段 (Focal Length),05. 中望遠（Medium Telephoto）,-,-,攝影 (Camera) - 焦段 (Focal Length) - 中望遠（Medium Telephoto） -  -  -  - 
提示詞-0049,02. 攝影 (Camera),03. 焦段 (Focal Length),06. 望遠（Telephoto）,-,-,攝影 (Camera) - 焦段 (Focal Length) - 望遠（Telephoto） -  -  -  - 
提示詞-0050,02. 攝影 (Camera),03. 焦段 (Focal Length),07. 超望遠（Super Telephoto）,-,-,攝影 (Camera) - 焦段 (Focal Length) - 超望遠（Super Telephoto） -  -  -  - 
提示詞-0051,02. 攝影 (Camera),04. 光圈 (Aperture),01. 小光圈 (Small Aperture),-,-,攝影 (Camera) - 光圈 (Aperture) - 小光圈 (Small Aperture) -  -  -  - 
提示詞-0052,02. 攝影 (Camera),04. 光圈 (Aperture),02. 中光圈 (Medium Aperture),-,-,攝影 (Camera) - 光圈 (Aperture) - 中光圈 (Medium Aperture) -  -  -  - 
提示詞-0053,02. 攝影 (Camera),04. 光圈 (Aperture),03. 大光圈 (Large Aperture),-,-,攝影 (Camera) - 光圈 (Aperture) - 大光圈 (Large Aperture) -  -  -  - 
提示詞-0054,02. 攝影 (Camera),05. 打光 (Lighting),01. 光線方向 (Lighting Direction),01. 正面光 (Front light),-,攝影 (Camera) - 打光 (Lighting) - 光線方向 (Lighting Direction) - 正面光 (Front light) -  - 
